docname,topic,proportion
gpt.txt:163,000,0.427757
gpt.txt:163,001,0.31632
gpt.txt:163,002,0.255924
gpt.txt:198,000,0.427757
gpt.txt:198,001,0.31632
gpt.txt:198,002,0.255924
gpt.txt:233,020,1.0
gpt.txt:268,000,1.0
gpt.txt:303,002,1.0
gpt.txt:338,000,0.427757
gpt.txt:338,001,0.31632
gpt.txt:338,002,0.255924
gpt.txt:359,000,1.0
gpt.txt:394,012,1.0
gpt.txt:429,000,0.427757
gpt.txt:429,001,0.31632
gpt.txt:429,002,0.255924
gpt.txt:464,000,1.0
gpt.txt:499,017,1.0
gpt.txt:534,000,0.427757
gpt.txt:534,001,0.31632
gpt.txt:534,002,0.255924
gpt.txt:569,002,1.0
gpt.txt:604,000,1.0
gpt.txt:639,017,1.0
gpt.txt:674,000,0.427757
gpt.txt:674,001,0.31632
gpt.txt:674,002,0.255924
gpt.txt:13,001,1.0
gpt.txt:48,016,1.0
gpt.txt:83,002,1.0
gpt.txt:118,006,1.0
gpt.txt:153,000,0.427757
gpt.txt:153,001,0.31632
gpt.txt:153,002,0.255924
gpt.txt:188,005,1.0
gpt.txt:223,002,1.0
gpt.txt:258,001,1.0
gpt.txt:293,012,1.0
gpt.txt:328,008,1.0
gpt.txt:384,001,1.0
gpt.txt:419,000,1.0
gpt.txt:454,012,1.0
gpt.txt:489,001,1.0
gpt.txt:524,000,0.427757
gpt.txt:524,001,0.31632
gpt.txt:524,002,0.255924
gpt.txt:559,000,0.427757
gpt.txt:559,001,0.31632
gpt.txt:559,002,0.255924
gpt.txt:594,011,1.0
gpt.txt:629,009,1.0
gpt.txt:664,000,0.427757
gpt.txt:664,001,0.31632
gpt.txt:664,002,0.255924
gpt.txt:11,009,1.0
gpt.txt:46,009,1.0
gpt.txt:81,002,1.0
gpt.txt:116,006,1.0
gpt.txt:151,000,0.427757
gpt.txt:151,001,0.31632
gpt.txt:151,002,0.255924
gpt.txt:186,000,0.427757
gpt.txt:186,001,0.31632
gpt.txt:186,002,0.255924
gpt.txt:221,006,1.0
gpt.txt:256,000,0.427757
gpt.txt:256,001,0.31632
gpt.txt:256,002,0.255924
gpt.txt:291,020,1.0
gpt.txt:326,000,0.427757
gpt.txt:326,001,0.31632
gpt.txt:326,002,0.255924
gpt.txt:382,004,1.0
gpt.txt:417,000,1.0
gpt.txt:452,012,1.0
gpt.txt:487,003,1.0
gpt.txt:522,000,0.427757
gpt.txt:522,001,0.31632
gpt.txt:522,002,0.255924
gpt.txt:557,020,1.0
gpt.txt:592,003,1.0
gpt.txt:627,009,1.0
gpt.txt:662,003,1.0
gpt.txt:697,002,1.0
gpt.txt:34,000,0.427757
gpt.txt:34,001,0.31632
gpt.txt:34,002,0.255924
gpt.txt:69,006,1.0
gpt.txt:104,000,0.427757
gpt.txt:104,001,0.31632
gpt.txt:104,002,0.255924
gpt.txt:139,000,1.0
gpt.txt:174,014,1.0
gpt.txt:209,000,1.0
gpt.txt:244,000,0.427757
gpt.txt:244,001,0.31632
gpt.txt:244,002,0.255924
gpt.txt:279,000,0.427757
gpt.txt:279,001,0.31632
gpt.txt:279,002,0.255924
gpt.txt:314,000,0.427757
gpt.txt:314,001,0.31632
gpt.txt:314,002,0.255924
gpt.txt:349,000,0.427757
gpt.txt:349,001,0.31632
gpt.txt:349,002,0.255924
gpt.txt:370,006,1.0
gpt.txt:405,017,1.0
gpt.txt:440,000,0.427757
gpt.txt:440,001,0.31632
gpt.txt:440,002,0.255924
gpt.txt:475,000,0.427757
gpt.txt:475,001,0.31632
gpt.txt:475,002,0.255924
gpt.txt:510,005,1.0
gpt.txt:545,000,0.427757
gpt.txt:545,001,0.31632
gpt.txt:545,002,0.255924
gpt.txt:580,007,1.0
gpt.txt:615,001,1.0
gpt.txt:650,007,1.0
gpt.txt:685,000,0.427757
gpt.txt:685,001,0.31632
gpt.txt:685,002,0.255924
